Student number,Student age,Average hours spent studying on campus,Student mark achieved,Time taken on examination (minutes)
10001,56,5,81,151
10002,46,1,112,128
10003,32,5,126,106
10004,60,4,94,172
10005,25,4,121,153
10006,38,4,105,169
10007,56,4,107,121
10008,36,4,106,175
10009,40,3,123,128
10010,28,2,130,135
10011,28,4,83,75
10012,41,1,112,149
10013,53,1,118,149
10014,57,1,114,107
10015,41,1,101,144
10016,20,3,106,98
10017,39,1,126,159
10018,19,4,123,92
10019,41,5,130,153
10020,47,1,108,160
10021,55,3,112,82
10022,19,3,110,69
10023,38,1,129,177
10024,50,5,98,128
10025,29,1,109,159
10026,39,3,100,93
10027,42,2,110,111
10028,44,4,80,154
10029,59,3,95,69
10030,45,1,102,78
10031,33,4,119,117
10032,32,1,108,155
10033,20,1,80,60
10034,54,2,117,179
10035,24,4,123,128
10036,38,4,101,168
10037,26,2,127,63
10038,56,3,109,75
10039,35,1,124,83
10040,21,5,99,139
10041,42,1,100,178
10042,31,1,79,61
10043,26,3,104,172
10044,43,1,119,151
10045,19,2,79,91
10046,37,2,103,150
10047,45,4,94,143
10048,24,5,117,83
10049,25,1,110,71
10050,52,1,86,109
10051,31,3,120,94
10052,34,2,125,92
10053,53,5,116,92
10054,57,4,106,120
10055,21,2,119,110
10056,19,4,103,102
10057,23,3,112,160
10058,59,3,127,71
10059,21,1,102,126
10060,46,5,101,124
10061,35,4,90,92
10062,43,2,84,99
10063,51,3,113,133
10064,27,1,122,102
10065,53,1,97,103
10066,31,4,78,88
10067,48,3,85,72
10068,32,5,123,71
10069,25,3,93,154
10070,31,4,91,105
10071,40,4,89,61
10072,57,3,128,174
10073,38,4,100,173
10074,33,3,92,94
10075,35,2,105,146
10076,41,3,111,140
10077,43,3,79,149
10078,42,4,109,67
10079,58,4,100,152
10080,46,1,99,85
10081,32,1,128,133
10082,18,2,102,149
10083,42,1,99,93
10084,24,3,99,174
10085,26,4,126,164
10086,41,1,129,66
10087,18,1,119,127
10088,25,2,83,117
10089,41,2,92,176
10090,28,3,120,173
10091,34,4,114,168
10092,25,2,110,134
10093,52,1,85,88
10094,52,4,130,179
10095,50,4,121,95
10096,22,1,121,148
10097,59,2,82,80
10098,56,1,116,180
10099,58,4,81,95
10100,45,5,83,69
10101,24,5,122,160
10102,26,3,109,132
10103,25,1,129,83
10104,29,1,107,123
10105,51,3,124,158
10106,50,3,112,108
10107,40,3,117,158
10108,41,4,129,171
10109,54,1,93,95
10110,52,4,90,141
10111,57,3,127,172
10112,39,1,119,162
10113,44,4,107,155
10114,52,4,96,83
10115,18,3,94,82
10116,52,1,96,121
10117,54,3,105,155
10118,31,1,103,96
10119,20,5,114,71
10120,18,2,103,172
10121,22,2,130,114
10122,43,2,100,72
10123,31,3,86,82
10124,56,5,89,148
10125,44,1,130,158
10126,26,4,78,164
10127,32,1,78,89
10128,32,4,124,76
10129,43,1,111,172
10130,59,5,109,121
10131,30,4,125,143
10132,49,3,102,171
10133,56,1,117,148
10134,49,1,122,145
10135,21,4,130,72
10136,47,3,78,118
10137,54,3,93,78
10138,40,5,116,108
10139,56,3,82,159
10140,32,3,99,71
10141,60,3,106,120
10142,46,2,80,164
10143,53,5,89,78
10144,30,1,103,135
10145,49,4,93,68
10146,24,1,128,130
10147,39,5,114,87
10148,45,4,99,137
10149,19,5,106,154
10150,59,3,91,111
